Fundo,Modulo,Velocidad,Anio,Semana_de_cosecha,Semana_de_empaque,Fecha_de_cosecha,Etapa, Resultado, Humedad_relativa, Temperatura_minima, Temperatura_maxima, Radiacion_solar_maxima, Radiacion_solar
Arato,3,50,2022,25,25,23/06/2022,Recepcion(R=30),53,84.08,12.70,22.40,676,3571
Arato,3,50,2022,25,25,23/06/2022,Terminado(PT=125),217,84.08,12.70,22.40,676,3571
Arato,3,50,2022,34,34,27/08/2022,Campo(C=8),8,88.33,12.60,22.60,772,4704
Arato,3,50,2022,34,34,27/08/2022,Recepcion(R=30),31,88.33,12.60,22.60,772,4704
Arato,3,50,2022,34,34,27/08/2022,Terminado(PT=125),156,88.33,12.60,22.60,772,4704
Arato,3,53,2022,25,25,20/06/2022,Recepcion(R=30),14,87.83,12.40,21.30,709,4199
Arato,3,53,2022,25,25,20/06/2022,Terminado(PT=125),179,87.83,12.40,21.30,709,4199
Arato,3,(en blanco),2021,36,36,08/09/2021,Campo(C=8),29,89.42,13.30,19.90,986,2919
Arato,3,(en blanco),2021,36,36,08/09/2021,Recepcion(R=30),25,89.42,13.30,19.90,986,2919
Arato,4,28,2021,35,35,03/09/2021,Campo(C=8),54,87.08,14.70,22.40,865,5349
Arato,4,28,2021,35,35,03/09/2021,Recepcion(R=30),24,87.08,14.70,22.40,865,5349
Arato,4,28,2021,35,35,03/09/2021,Terminado(PT=125),104,87.08,14.70,22.40,865,5349
Arato,4,30,2021,34,34,24/08/2021,Campo(C=8),28,85.46,13.30,21.90,863,5588
Arato,4,30,2021,34,34,24/08/2021,Recepcion(R=30),27,85.46,13.30,21.90,863,5588
Arato,4,30,2021,34,34,24/08/2021,Terminado(PT=125),132,85.46,13.30,21.90,863,5588
Arato,4,30,2021,35,35,31/08/2021,Campo(C=8),27,88.04,13.20,21.30,926,3132
Arato,4,30,2021,35,35,31/08/2021,Recepcion(R=30),33,88.04,13.20,21.30,926,3132
Arato,4,30,2021,35,35,31/08/2021,Terminado(PT=125),221,88.04,13.20,21.30,926,3132
Arato,4,30,2022,20,20,19/05/2022,Campo(C=8),11,79.50,15.88,25.27,755,4629
Arato,4,30,2022,20,20,19/05/2022,Recepcion(R=30),76,79.50,15.88,25.27,755,4629
Arato,4,30,2022,20,20,19/05/2022,Terminado(PT=125),214,79.50,15.88,25.27,755,4629
Arato,4,30,2022,20,20,21/05/2022,Campo(C=8),8,83.75,13.55,24.66,742,5093
Arato,4,30,2022,20,20,21/05/2022,Recepcion(R=30),42,83.75,13.55,24.66,742,5093
Arato,4,30,2022,20,20,21/05/2022,Terminado(PT=125),283,83.75,13.55,24.66,742,5093
Arato,4,31,2021,34,34,27/08/2021,Campo(C=8),31,85.08,13.70,22.50,871,5716
